well,field,value
49-005-54283,Wildcat,10
49-005-54319,Croton,10
49-005-54320,Croton,10
49-005-54321,Croton,10
49-005-54322,Croton,10
49-005-54474,Gas Draw,10
49-005-54475,Gas Draw,10
49-005-54476,Gas Draw,10
49-005-54477,Gas Draw,10
49-005-54478,Gas Draw,10
49-005-54479,Gas Draw,10
49-005-54480,Gas Draw,10
49-005-54482,Gas Draw,10
49-005-54483,Gas Draw,10
49-005-54484,Gas Draw,10
49-005-54485,Gas Draw,10
49-005-54486,Gas Draw,10
49-005-54488,Gas Draw,10
49-005-54489,Gas Draw,10
49-005-54490,Gas Draw,10
49-005-54491,Gas Draw,10
49-005-54492,Gas Draw,10
49-005-54493,Gas Draw,10
49-005-54494,Gas Draw,10
49-005-54495,Gas Draw,10
49-005-54496,Gas Draw,10
49-005-54497,Gas Draw,10
49-005-54498,Gas Draw,10
49-005-54499,Gas Draw,10
49-005-54500,Gas Draw,10
49-005-54501,Gas Draw,10
49-005-54502,Gas Draw,10
49-005-54503,Gas Draw,10
49-005-54504,Gas Draw,10
49-005-54505,Gas Draw,10
49-005-54506,Gas Draw,10
49-005-54507,Gas Draw,10
49-005-54508,Gas Draw,10
49-005-54509,Gas Draw,10
49-005-54591,Sagebrush,10
49-005-54592,Perla,10
49-005-54593,Sagebrush,10
49-005-54594,Sagebrush,10
49-005-54596,Wormwood,10
49-005-54597,Wormwood,10
49-005-54598,Wormwood,10
49-005-54599,Wormwood,10
49-005-54600,Wormwood,10
49-005-54601,Sagebrush,10
49-005-54611,Pebble Beach,10
49-005-54612,West Pine Tree,10
49-005-54613,West Pine Tree,10
49-005-54614,West Pine Tree,10
49-005-54757,Winter Park,10
49-005-54758,Winter Park,10
49-005-54767,Sycamore,10
49-005-54822,Sycamore,10
49-005-54823,Sycamore,10
49-005-54824,Sycamore,10
49-005-54825,Sycamore,10
49-005-54826,Pearson Draw,10
49-005-54828,Pearson Draw,10
49-005-54829,Pearson Draw,10
49-005-54831,Pearson Draw,10
49-005-54832,Pearson Draw,10
49-005-54840,Sycamore,10
49-005-54843,Tabitha,10
49-005-54846,Tabitha,10
