apicode,primary_screw,recip,sales_delivery_point
"49-019-24495","Nile/Congo","Amazon/River","Fort Union"
"49-019-24496","Nile/Congo","Amazon/River","Fort Union"
"49-019-24498","Nile/Congo","Amazon/River","Fort Union"
"49-019-24499","Nile/Congo","Amazon/River","Fort Union"
"49-019-24500","Nile/Congo","Amazon/River","Fort Union"
"49-019-24501","Nile/Congo","Amazon/River","Fort Union"
"49-019-24502","Nile/Congo","Amazon/River","Fort Union"
"49-019-24503","Nile/Congo","Amazon/River","Fort Union"
"49-019-24504","Nile/Congo","Amazon/River","Fort Union"
"49-019-24505","Nile/Congo","Amazon/River","Fort Union"
"49-019-24506","Nile/Congo","Amazon/River","Fort Union"
"49-019-24507","Nile/Congo","Amazon/River","Fort Union"
"49-019-24508","Nile/Congo","Amazon/River","Fort Union"
"49-019-24521","Citation","Falcon","Fort Union"
"49-019-24522","Citation","Falcon","Fort Union"
"49-019-24523","Big ike","onarch","Fort Union"
"49-019-24524","Nile/Congo","Amazon/River","Fort Union"
"49-019-24525","Nile/Congo","Amazon/River","Fort Union"
"49-019-24526","Nile/Congo","Amazon/River","Fort Union"
"49-019-24527","Nile/Congo","Amazon/River","Fort Union"
"49-019-24528","Nile/Congo","Amazon/River","Fort Union"
"49-019-24529","Nile/Congo","Amazon/River","Fort Union"
"49-019-24530","Nile/Congo","Amazon/River","Fort Union"
"49-019-24531","Nichols","Bombsite","Fort Union"
"49-019-24532","Nile/Congo","Amazon/River","Fort Union"
"49-019-24533","Nile/Congo","Amazon/River","Fort Union"
"49-019-24534","Nichols","Bombsite","Fort Union"
"49-019-24536","Nile/Congo","Amazon/River","Fort Union"
"49-019-24537","Nichols","Bombsite","Fort Union"
"49-019-24538","Nile/Congo","Amazon/River","Fort Union"
"49-019-24545","Big Cat","Whiskey Draw","Fort Union"
"49-019-24546","Big Cat","Whiskey Draw","Fort Union"
"49-019-24547","Big Cat","Whiskey Draw","Fort Union"
"49-019-24548","Big Cat","Whiskey Draw","Fort Union"
"49-019-24549","Big Cat","Whiskey Draw","Fort Union"
"49-019-24550","Big Cat","Whiskey Draw","Fort Union"
"49-019-24551","Big Cat","Whiskey Draw","Fort Union"
"49-019-24553","Big Cat","Whiskey Draw","Fort Union"
"49-019-24554","Big Cat","Whiskey Draw","Fort Union"
"49-019-24555","Big Cat","Whiskey Draw","Fort Union"
"49-019-24557","Big Cat","Whiskey Draw","Fort Union"
"49-019-24558","Big Cat","Whiskey Draw","Fort Union"
"49-019-24559","Big Cat","Whiskey Draw","Fort Union"
"49-019-24565","Big Cat","Whiskey Draw","Fort Union"
"49-019-24571","Big Cat","Whiskey Draw","Fort Union"
"49-019-24572","Big Cat","Whiskey Draw","Fort Union"
"49-019-24575","Kessler","Whiskey Draw","Fort Union"
"49-019-24578","Kessler","Whiskey Draw","Fort Union"
"49-019-24582","Kessler","Whiskey Draw","Fort Union"
"49-019-24583","Kessler","Whiskey Draw","Fort Union"
"49-019-24586","Kessler","Whiskey Draw","Fort Union"
"49-019-24591","Big Cat","Whiskey Draw","Fort Union"
"49-019-24600","Big Cat","Whiskey Draw","Fort Union"
"49-019-24605","Big Cat","Whiskey Draw","Fort Union"
"49-019-24614","Big Cat","Whiskey Draw","Fort Union"
"49-019-24615","Gus","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24616","Gus","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24619","Crow","Indian Creek","Thunder Creek"
"49-019-24620","Crow","Indian Creek","Thunder Creek"
"49-019-24621","Crow","Indian Creek","Thunder Creek"
"49-019-24622","Crow","Indian Creek","Thunder Creek"
"49-019-24623","Crow","Indian Creek","Thunder Creek"
"49-019-24624","Crow","Indian Creek","Thunder Creek"
"49-019-24625","Crow","Indian Creek","Thunder Creek"
"49-019-24626","Crow","Indian Creek","Thunder Creek"
"49-019-24627","Crow","Indian Creek","Thunder Creek"
"49-019-24628","Crow","Indian Creek","Thunder Creek"
"49-019-24631","Kessler","Whiskey Draw","Fort Union"
"49-019-24633","Big Cat","Whiskey Draw","Fort Union"
"49-019-24653","Bruin","Bear Draw","Fort Union"
"49-019-24654","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24655","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24656","Deer Gulch","Falcon","Fort Union"
"49-019-24657","Deer Gulch","Falcon","Fort Union"
"49-019-24658","Citation","Falcon","Fort Union"
"49-019-24661","Citation","Falcon","Fort Union"
"49-019-24662","Citation","Falcon","Fort Union"
"49-019-24663","Citation","Falcon","Fort Union"
"49-019-24664","Citation","Falcon","Fort Union"
"49-019-24672","Citation","Falcon","Fort Union"
"49-019-24676","The Chair","Table ountain","Thunder Creek"
"49-019-24677","The Chair","Table ountain","Thunder Creek"
"49-019-24678","The Chair","Table ountain","Thunder Creek"
"49-019-24679","The Chair","Table ountain","Thunder Creek"
"49-019-24680","The Chair","Table ountain","Thunder Creek"
"49-019-24681","The Chair","Table ountain","Thunder Creek"
"49-019-24683","The Chair","Table ountain","Thunder Creek"
"49-019-24685","Neil","CCF","Fort Union"
"49-019-24686","Neil","CCF","Fort Union"
"49-019-24687","Neil","CCF","Fort Union"
"49-019-24688","Neil","CCF","Fort Union"
"49-019-24692","Neil","CCF","Fort Union"
"49-019-24693","Neil","CCF","Fort Union"
"49-019-24694","Neil","CCF","Fort Union"
"49-019-24695","Neil","CCF","Fort Union"
"49-019-24697","Neil","CCF","Fort Union"
"49-019-24698","The Chair","Table ountain","Thunder Creek"
"49-019-24699","The Chair","Table ountain","Thunder Creek"
"49-019-24700","The Chair","Table ountain","Thunder Creek"
"49-019-24701","The Chair","Table ountain","Thunder Creek"
"49-019-24702","The Chair","Table ountain","Thunder Creek"
"49-019-24703","The Chair","Table ountain","Thunder Creek"
"49-019-24705","The Chair","Table ountain","Thunder Creek"
"49-019-24707","The Chair","Table ountain","Thunder Creek"
"49-019-24708","The Chair","Table ountain","Thunder Creek"
"49-019-24709","The Chair","Table ountain","Thunder Creek"
"49-019-24710","The Chair","Table ountain","Thunder Creek"
