id,value
49.PearsonDraw.SouthProng.FortUnion,34
49.PearsonDraw.SouthProng.FortUnion,34
49.PearsonDraw.SouthProng.FortUnion,34
49.PearsonDraw.SouthProng.FortUnion,34
49.OneokHouseCreek#24.OneokHouseCreekBooster.ThunderCreek,34
49.OneokHouseCreek#24.OneokHouseCreekBooster.ThunderCreek,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.DryWillow.DryWillow.ThunderCreek,34
49.CrenshawHill.organDraw.FortUnion,34
49.Chicken.HorseCreek.IGC,34
49.CrenshawHill.organDraw.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.GasDraw.HorseCreek.IGC,34
49.Chicken.HorseCreek.IGC,34
49.Chicken.HorseCreek.IGC,34
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Chicken.HorseCreek.IGC,34
49.ouse.BakerSprings.FortUnion,34
49.Dallas.Fletcher/Tex.FortUnion,34
49.Dallas.Fletcher/Tex.FortUnion,34
49.Dallas.Fletcher/Tex.FortUnion,34
49.Dallas.Fletcher/Tex.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Surfer.alibu.FortUnion,34
49.Surfer.alibu.FortUnion,34
49.Surfer.alibu.FortUnion,34
49.Surfer.alibu.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Croton.Echeta.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.WinterPark.Vail.FortUnion,34
49.WinterPark.Vail.FortUnion,34
49.WinterPark.Vail.FortUnion,34
49.WinterPark.Vail.FortUnion,34
49.WinterPark.Vail.FortUnion,34
49.Chicken.HorseCreek.IGC,34
49.PearsonDraw.SouthProng.FortUnion,34
49.PearsonDraw.SouthProng.FortUnion,34
49.ouse.BakerSprings.FortUnion,34
49.ouse.BakerSprings.FortUnion,34
49.ouse.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.CrenshawHill.organDraw.FortUnion,34
49.CrenshawHill.organDraw.FortUnion,34
49.Wildcat.organDraw.FortUnion,34
49.CrenshawHill.organDraw.FortUnion,34
49.CrenshawHill.organDraw.FortUnion,34
49.CrenshawHill.organDraw.FortUnion,34
49.CrenshawHill.organDraw.FortUnion,34
49.CrenshawHill.organDraw.FortUnion,34
49.CrenshawHill.organDraw.FortUnion,34
49.CrenshawHill.organDraw.FortUnion,34
49.CrenshawHill.organDraw.FortUnion,34
49.Wildcat.organDraw.FortUnion,34
49.Sycamore.ontgomery.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
49.Butcher.BakerSprings.FortUnion,34
